,UNIT,IN,OUT,COORDS
102,R112,49852.0,22444.0,"[40.862803, -73.901034]"
103,R113,74072.0,87744.0,"[40.762877, -73.98159]"
104,R114,28079.0,28234.0,"[40.707564, -73.803326]"
105,R115,38173.0,31053.0,"[40.710459, -73.7936]"
106,R116,107522.0,101463.0,"[40.761675, -73.983908]"
107,R117,28858.0,11778.0,"[40.889185, -73.898549]"
108,R118,46358.0,15165.0,"[40.718233000000005, -74.000323]"
109,R119,49629.0,9364.0,"[40.862941, -73.901199]"
110,R120,28988.0,22841.0,"[40.829495, -73.87455899999999]"
111,R121,50646.0,16196.0,"[40.750508, -73.940177]"
112,R122,69371.0,35801.0,"[40.748540999999996, -73.876791]"
113,R123,43678.0,33133.0,"[40.670711, -73.958051]"
114,R124,20307.0,17112.0,"[40.669409, -73.942173]"
115,R125,30763.0,10787.0,"[40.706539, -74.011052]"
116,R126,54027.0,28053.0,"[40.847369, -73.939683]"
117,R127,178452.0,97803.0,"[40.692338, -73.987342]"
118,R128,21403.0,10866.0,"[40.705416, -73.810562]"
119,R129,50479.0,28974.0,"[40.686153999999995, -73.990881]"
120,R130,21417.0,13286.0,"[40.603234, -73.972342]"
121,R131,122844.0,104412.0,"[40.740088, -73.986429]"
122,R132,109780.0,99724.0,"[40.804406, -73.93745200000001]"
123,R133,40860.0,12340.0,"[40.87963, -73.88466600000001]"
124,R134,32118.0,26414.0,"[40.74238, -73.94888900000001]"
125,R135,36990.0,21626.0,"[40.639961, -73.948352]"
126,R136,68117.0,55134.0,"[40.58681, -73.954167]"
127,R137,81581.0,50743.0,"[40.699707000000004, -73.91181]"
128,R138,181307.0,165042.0,"[40.732251, -74.000559]"
129,R139,81704.0,68963.0,"[40.720852, -74.005237]"
130,R140,48907.0,42491.0,"[40.748948, -73.93719399999999]"
131,R141,129454.0,61359.0,"[40.721681, -73.84439]"
132,R142,112234.0,82851.0,"[40.718379999999996, -73.987813]"
133,R143,101355.0,106094.0,"[40.743095000000004, -73.984251]"
