,UNIT,IN,OUT,COORDS
444,R460,60171.0,42405.0,"[40.708377, -73.957751]"
445,R461,97444.0,124663.0,"[40.725297, -73.996204]"
446,R462,54201.0,47281.0,"[40.718697, -74.000977]"
447,R463,81757.0,69847.0,"[40.718697, -74.000977]"
448,R464,6786.0,765.0,"[40.668221, -73.834026]"
449,R468,16722.0,213.0,"[40.761268, -73.964016]"
450,R469,20512.0,423.0,"[40.7574, -73.954006]"
451,R535,9722.0,11493.0,"[40.660476, -73.830301]"
452,R536,32714.0,32479.0,"[40.643941999999996, -73.78235600000001]"
453,R540,163741.0,131870.0,"[40.711638, -74.010708]"
454,R541,132662.0,112823.0,"[40.748931, -73.988113]"
455,R542,38970.0,49285.0,"[40.742933, -73.992909]"
456,R543,69261.0,67861.0,"[40.716737, -74.033024]"
457,R544,33558.0,34306.0,"[40.738879, -74.15553299999999]"
458,R545,37449.0,35648.0,"[40.737434, -73.996785]"
459,R546,78535.0,81238.0,"[nan, nan]"
460,R547,21394.0,21607.0,"[nan, nan]"
461,R548,19714.0,21189.0,"[nan, nan]"
462,R549,110071.0,96538.0,"[nan, nan]"
463,R550,99999.0,104533.0,"[nan, nan]"
464,R551,81709.0,74933.0,"[40.719876, -74.04261600000001]"
465,R552,96102.0,58905.0,"[40.732102000000005, -74.06391500000001]"
