,UNIT,IN,OUT,COORDS
446,R462,54830.0,46409.0,"[40.718697, -74.000977]"
447,R463,81820.0,68634.0,"[40.718697, -74.000977]"
448,R464,7390.0,836.0,"[40.668221, -73.834026]"
449,R468,16917.0,213.0,"[40.761268, -73.964016]"
450,R469,20010.0,426.0,"[40.7574, -73.954006]"
451,R535,9389.0,10364.0,"[40.660476, -73.830301]"
452,R536,32247.0,31080.0,"[40.643941999999996, -73.78235600000001]"
453,R540,158702.0,104652.0,"[40.711638, -74.010708]"
454,R541,121807.0,101653.0,"[40.748931, -73.988113]"
455,R542,36182.0,49101.0,"[40.742933, -73.992909]"
456,R543,68646.0,66090.0,"[40.716737, -74.033024]"
457,R544,33073.0,35098.0,"[40.738879, -74.15553299999999]"
458,R545,37453.0,35744.0,"[40.737434, -73.996785]"
459,R546,73946.0,77536.0,"[nan, nan]"
460,R547,19901.0,20755.0,"[nan, nan]"
461,R548,20085.0,21550.0,"[nan, nan]"
462,R549,108177.0,95602.0,"[nan, nan]"
463,R550,97017.0,101797.0,"[nan, nan]"
464,R551,80893.0,76691.0,"[40.719876, -74.04261600000001]"
465,R552,91786.0,56094.0,"[40.732102000000005, -74.06391500000001]"
