,UNIT,IN,OUT,COORDS
102,R112,50976.0,22600.0,"[40.862803, -73.901034]"
103,R113,73724.0,83081.0,"[40.762877, -73.98159]"
104,R114,28186.0,27350.0,"[40.707564, -73.803326]"
105,R115,38717.0,31242.0,"[40.710459, -73.7936]"
106,R116,109441.0,104308.0,"[40.761675, -73.983908]"
107,R117,29650.0,11887.0,"[40.889185, -73.898549]"
108,R118,46500.0,14774.0,"[40.718233000000005, -74.000323]"
109,R119,49841.0,9451.0,"[40.862941, -73.901199]"
110,R120,28307.0,22640.0,"[40.829495, -73.87455899999999]"
111,R121,51413.0,16274.0,"[40.750508, -73.940177]"
112,R122,69703.0,35869.0,"[40.748540999999996, -73.876791]"
113,R123,44179.0,33207.0,"[40.670711, -73.958051]"
114,R124,21038.0,17392.0,"[40.669409, -73.942173]"
115,R125,30978.0,10458.0,"[40.706539, -74.011052]"
116,R126,55064.0,28580.0,"[40.847369, -73.939683]"
117,R127,177544.0,96791.0,"[40.692338, -73.987342]"
118,R128,19631.0,10773.0,"[40.705416, -73.810562]"
119,R129,47969.0,28346.0,"[40.686153999999995, -73.990881]"
120,R130,19417.0,12605.0,"[40.603234, -73.972342]"
121,R131,117339.0,96700.0,"[40.740088, -73.986429]"
122,R132,105683.0,96324.0,"[40.804406, -73.93745200000001]"
123,R133,38506.0,12032.0,"[40.87963, -73.88466600000001]"
124,R134,29375.0,24485.0,"[40.74238, -73.94888900000001]"
125,R135,33647.0,21341.0,"[40.639961, -73.948352]"
126,R136,61891.0,53699.0,"[40.58681, -73.954167]"
127,R137,82393.0,50746.0,"[40.699707000000004, -73.91181]"
128,R138,180939.0,163987.0,"[40.732251, -74.000559]"
129,R139,80258.0,68106.0,"[40.720852, -74.005237]"
130,R140,47036.0,38715.0,"[40.748948, -73.93719399999999]"
131,R141,119417.0,59160.0,"[40.721681, -73.84439]"
132,R142,109955.0,82300.0,"[40.718379999999996, -73.987813]"
133,R143,98686.0,100744.0,"[40.743095000000004, -73.984251]"
134,R144,115147.0,25997.0,"[40.785821999999996, -73.95097]"
135,R145,21788.0,21881.0,"[40.903085, -73.85059100000001]"
136,R146,44431.0,34128.0,"[40.820889, -73.890567]"
137,R147,70411.0,72983.0,"[40.745622999999995, -73.902969]"
138,R148,22906.0,16139.0,"[40.655053, -73.96122700000001]"
139,R149,45778.0,42366.0,"[40.635059000000005, -73.962793]"
140,R150,31264.0,10410.0,"[40.599307, -73.955916]"
141,R151,53393.0,48791.0,"[40.577422999999996, -73.981225]"
142,R152,56182.0,12401.0,"[40.64666, -73.901832]"
143,R153,67278.0,49244.0,"[40.679279, -73.930585]"
144,R154,42486.0,25620.0,"[40.850307, -73.905244]"
145,R155,34006.0,24296.0,"[40.866974, -73.893485]"
146,R156,31635.0,18833.0,"[40.873026, -73.88691899999999]"
147,R157,36825.0,25325.0,"[40.874827, -73.878872]"
148,R158,115485.0,117337.0,"[40.714444, -73.830979]"
